date,close,volume,open,high,low
12/3/15,232.71,2937233,235.48,237.45,230
12/2/15,231.99,2980644,237,238.6,231.23
12/1/15,237.19,3728562,231.06,238,231.05
11/30/15,230.26,2591205,231.79,234.28,229.08
11/27/15,231.61,1949353,231.06,232.25,227.01
11/25/15,229.64,3986945,221.34,230.825,220.375
11/24/15,218.25,2478389,215.37,221,215
11/23/15,217.75,2525196,217.35,219.18,214.6798
11/20/15,220.01,4394199,223.49,225,213.58
11/19/15,221.8,2499593,220.54,226.19,220.3
11/18/15,221.07,2810200,214.5,221.38,212.52
11/17/15,214,2148326,215.2,216,211.4
11/16/15,214.31,2920362,206.09,214.98,205.8
11/13/15,207.19,3423139,212.95,212.99,206.52
11/12/15,212.94,2913511,217.85,219,212.66
11/11/15,219.08,3337501,217.77,219.48,213.63
11/10/15,216.5,4612408,223.48,223.7,216.08
11/9/15,225.33,3846179,232.99,232.99,224.31
11/6/15,232.36,2444264,230.7,233.359,229.5
11/5/15,231.77,4494944,230.58,234.5843,229.19
11/4/15,231.63,12713530,227,232.74,225.2
11/3/15,208.35,8065091,213.85,214.44,207.75
11/2/15,213.79,3924514,208.92,215.8,207.22
10/30/15,206.93,4432433,210.4,211.63,203.89
10/29/15,211.63,1794743,211.75,213.7481,210.64
10/28/15,212.96,2726880,211.31,213.45,208.3
10/27/15,210.35,3512832,214.84,217.1,207.51
10/26/15,215.26,3388227,211.38,215.88,210
10/23/15,209.09,4226411,215,215.35,207.69
10/22/15,211.72,2818801,211.56,215.75,209.4
10/21/15,210.09,4177956,211.99,214.81,208.8
10/20/15,213.03,14877020,227.72,228.6,202
10/19/15,228.1,2506836,226.5,231.15,224.94
10/16/15,227.01,4327574,223.04,230.4805,222.87
10/15/15,221.31,2835920,216.43,221.73,213.7
10/14/15,216.88,3094436,220.67,220.95,215.43
10/13/15,219.25,5168162,213.28,222.522,211.13
10/12/15,215.58,3816171,222.99,223,215.27
10/9/15,220.69,6153754,220.93,224.37,218.36
